Date/Time	Latitude_N	Longitude_E	SWD [W/m**2]	PAR down above surface W/m2	PAR just below surf (W/m2)	PAR just below surface (µmol)
2015-05-21T03:25	59.5227	3.4363	13	6.11	7.03872	32.3077248
2015-05-21T03:35	59.5519	3.4322	20	9.4	10.8288	49.704192
2015-05-21T03:45	59.5814	3.4275	25	11.75	13.536	62.13024
2015-05-21T03:55	59.6115	3.4224	27	12.69	14.61888	67.1006592
2015-05-21T04:05	59.6411	3.4171	32	15.04	17.32608	79.5267072
2015-05-21T04:15	59.6716	3.4125	29	13.63	15.70176	72.0710784
2015-05-21T04:25	59.7018	3.4072	22	10.34	11.91168	54.6746112
2015-05-21T04:35	59.7322	3.4027	19	8.93	10.28736	47.2189824
2015-05-21T04:45	59.7629	3.3979	31	14.57	16.78464	77.0414976
2015-05-21T04:55	59.7925	3.3926	60	28.2	32.4864	149.112576
2015-05-21T05:05	59.8221	3.3876	71	33.37	38.44224	176.4498816
2015-05-21T05:15	59.8519	3.3833	69	32.43	37.35936	171.4794624
2015-05-21T05:25	59.8817	3.3785	86	40.42	46.56384	213.7280256
2015-05-21T05:35	59.9114	3.3731	99	46.53	53.60256	246.0357504
2015-05-21T05:45	59.9416	3.3682	120	56.4	64.9728	298.225152
2015-05-21T05:55	59.9716	3.3632	117	54.99	63.34848	290.7695232
2015-05-21T06:05	60.0013	3.3585	137	64.39	74.17728	340.4737152
2015-05-21T06:15	60.0313	3.3534	140	65.8	75.8016	347.929344
2015-05-21T06:25	60.0614	3.3481	128	60.16	69.30432	318.1068288
2015-05-21T06:35	60.0936	3.3435	107	50.29	57.93408	265.9174272
2015-05-21T06:45	60.1262	3.3381	104	48.88	56.30976	258.4617984
2015-05-21T06:55	60.1585	3.3328	97	45.59	52.51968	241.0653312
2015-05-21T07:05	60.1909	3.3271	130	61.1	70.3872	323.077248
2015-05-21T07:15	60.2236	3.3213	177	83.19	95.83488	439.8820992
2015-05-21T07:25	60.2565	3.3165	157	73.79	85.00608	390.1779072
2015-05-21T07:35	60.2894	3.3105	104	48.88	56.30976	258.4617984
2015-05-21T07:45	60.3226	3.3055	72	33.84	38.98368	178.9350912
2015-05-21T07:55	60.3563	3.2999	103	48.41	55.76832	255.9765888
2015-05-21T08:05	60.3904	3.2942	195	91.65	105.5808	484.615872
2015-05-21T08:15	60.4224	3.2887	192	90.24	103.95648	477.1602432
2015-05-21T08:25	60.4544	3.2836	181	85.07	98.00064	449.8229376
2015-05-21T08:35	60.4873	3.2841	176	82.72	95.29344	437.3968896
2015-05-21T08:45	60.5202	3.2816	187	87.89	101.24928	464.7341952
2015-05-21T08:55	60.5527	3.2731	171	80.37	92.58624	424.9708416
2015-05-21T09:05	60.5851	3.2656	145	68.15	78.5088	360.355392
2015-05-21T09:15	60.6181	3.2575	120	56.4	64.9728	298.225152
2015-05-21T09:25	60.6513	3.25	173	81.31	93.66912	429.9412608
2015-05-21T09:35	60.6839	3.2449	203	95.41	109.91232	504.4975488
2015-05-21T09:45	60.7157	3.2399	123	57.81	66.59712	305.6807808
2015-05-21T09:55	60.7481	3.2345	78	36.66	42.23232	193.8463488
2015-05-21T10:05	60.7799	3.2291	89	41.83	48.18816	221.1836544
2015-05-21T10:15	60.8102	3.2272	277	130.19	149.97888	688.4030592
2015-05-21T10:25	60.8406	3.229	324	152.28	175.42656	805.2079104
2015-05-21T10:35	60.871	3.2318	304	142.88	164.59776	755.5037184
2015-05-21T10:45	60.9014	3.2346	283	133.01	153.22752	703.3143168
2015-05-21T10:55	60.9319	3.237	379	178.13	205.20576	941.8944384
2015-05-21T11:05	60.9624	3.2395	357	167.79	193.29408	887.2198272
2015-05-21T11:15	60.9917	3.2421	338	158.86	183.00672	840.0008448
2015-05-21T11:25	61.021	3.2445	165	77.55	89.3376	410.059584
2015-05-21T11:35	61.05	3.2463	297	139.59	160.80768	738.1072512
2015-05-21T11:45	61.0793	3.2491	343	161.21	185.71392	852.4268928
2015-05-21T11:55	61.1054	3.2509	322	151.34	174.34368	800.2374912
2015-05-21T12:05	61.1329	3.2536	375	176.25	203.04	931.9536
2015-05-21T12:15	61.161	3.2557	364	171.08	197.08416	904.6162944
2015-05-21T12:25	61.1878	3.2576	331	155.57	179.21664	822.6043776
2015-05-21T12:35	61.2166	3.26	354	166.38	191.66976	879.7641984
2015-05-21T12:45	61.2457	3.2633	364	171.08	197.08416	904.6162944
2015-05-21T12:55	61.275	3.2656	422	198.34	228.48768	1048.758451
